name,symbol,exchange
AUTOIND,AUTOIND.NS,NSE
AVADHSUGAR,AVADHSUGAR.NS,NSE
AVALON,AVALON.NS,NSE
AVANTEL,AVANTEL.NS,NSE
AVANTIFEED,AVANTIFEED.NS,NSE
AVG,AVG.NS,NSE
AVL,AVL.NS,NSE
AVONMORE,AVONMORE.NS,NSE
AVROIND,AVROIND.NS,NSE
AVTNPL,AVTNPL.NS,NSE
AWFIS,AWFIS.NS,NSE
AWHCL,AWHCL.NS,NSE
AWL,AWL.NS,NSE
AXISBANK,AXISBANK.NS,NSE
AXISCADES,AXISCADES.NS,NSE
AXITA,AXITA.NS,NSE
AYMSYNTEX,AYMSYNTEX.NS,NSE
AZAD,AZAD.NS,NSE
BAFNAPH,BAFNAPH.NS,NSE
BAGFILMS,BAGFILMS.NS,NSE
BAIDFIN,BAIDFIN.NS,NSE
BAJAJ-AUTO,BAJAJ-AUTO.NS,NSE
BAJAJCON,BAJAJCON.NS,NSE
BAJAJELEC,BAJAJELEC.NS,NSE
BAJAJFINSV,BAJAJFINSV.NS,NSE
BAJAJHCARE,BAJAJHCARE.NS,NSE
BAJAJHFL,BAJAJHFL.NS,NSE
BAJAJHIND,BAJAJHIND.NS,NSE
BAJAJHLDNG,BAJAJHLDNG.NS,NSE
BAJAJINDEF,BAJAJINDEF.NS,NSE
BAJEL,BAJEL.NS,NSE
BAJFINANCE,BAJFINANCE.NS,NSE
BALAJEE,BALAJEE.NS,NSE
BALAJITELE,BALAJITELE.NS,NSE
BALAMINES,BALAMINES.NS,NSE
BALAXI,BALAXI.NS,NSE
BALKRISHNA,BALKRISHNA.NS,NSE
BALKRISIND,BALKRISIND.NS,NSE
BALMLAWRIE,BALMLAWRIE.NS,NSE
BALPHARMA,BALPHARMA.NS,NSE
BALRAMCHIN,BALRAMCHIN.NS,NSE
BALUFORGE,BALUFORGE.NS,NSE
BANARBEADS,BANARBEADS.NS,NSE
BANARISUG,BANARISUG.NS,NSE
BANCOINDIA,BANCOINDIA.NS,NSE
BANDHANBNK,BANDHANBNK.NS,NSE
BANG,BANG.NS,NSE
BANKA,BANKA.NS,NSE
BANKBARODA,BANKBARODA.NS,NSE
BANKINDIA,BANKINDIA.NS,NSE
BANSALWIRE,BANSALWIRE.NS,NSE
BANSWRAS,BANSWRAS.NS,NSE
BARBEQUE,BARBEQUE.NS,NSE
BASF,BASF.NS,NSE
BASML,BASML.NS,NSE
BATAINDIA,BATAINDIA.NS,NSE
BAYERCROP,BAYERCROP.NS,NSE
BBL,BBL.NS,NSE
BBOX,BBOX.NS,NSE
BBTC,BBTC.NS,NSE
BBTCL,BBTCL.NS,NSE
BCG,BCG.NS,NSE
BCLIND,BCLIND.NS,NSE
BCONCEPTS,BCONCEPTS.NS,NSE
BDL,BDL.NS,NSE
BEARDSELL,BEARDSELL.NS,NSE
BECTORFOOD,BECTORFOOD.NS,NSE
BEDMUTHA,BEDMUTHA.NS,NSE
BEL,BEL.NS,NSE
BELLACASA,BELLACASA.NS,NSE
BELRISE,BELRISE.NS,NSE
BEML,BEML.NS,NSE
BEPL,BEPL.NS,NSE
BERGEPAINT,BERGEPAINT.NS,NSE
BESTAGRO,BESTAGRO.NS,NSE
BFINVEST,BFINVEST.NS,NSE
BFUTILITIE,BFUTILITIE.NS,NSE
BGRENERGY,BGRENERGY.NS,NSE
BHAGCHEM,BHAGCHEM.NS,NSE
BHAGERIA,BHAGERIA.NS,NSE
BHAGYANGR,BHAGYANGR.NS,NSE
BHANDARI,BHANDARI.NS,NSE
BHARATFORG,BHARATFORG.NS,NSE
BHARATGEAR,BHARATGEAR.NS,NSE
BHARATRAS,BHARATRAS.NS,NSE
BHARATSE,BHARATSE.NS,NSE
BHARATWIRE,BHARATWIRE.NS,NSE
BHARTIARTL,BHARTIARTL.NS,NSE
BHARTIHEXA,BHARTIHEXA.NS,NSE
BHEL,BHEL.NS,NSE
BIGBLOC,BIGBLOC.NS,NSE
BIKAJI,BIKAJI.NS,NSE
BIL,BIL.NS,NSE
BILVYAPAR,BILVYAPAR.NS,NSE
BIOCON,BIOCON.NS,NSE
BIOFILCHEM,BIOFILCHEM.NS,NSE
BIRLACABLE,BIRLACABLE.NS,NSE
BIRLACORPN,BIRLACORPN.NS,NSE
BIRLAMONEY,BIRLAMONEY.NS,NSE
BIRLANU,BIRLANU.NS,NSE
BLACKBUCK,BLACKBUCK.NS,NSE
BLAL,BLAL.NS,NSE
BLBLIMITED,BLBLIMITED.NS,NSE
BLISSGVS,BLISSGVS.NS,NSE
BLKASHYAP,BLKASHYAP.NS,NSE
BLS,BLS.NS,NSE
BLSE,BLSE.NS,NSE
BLUECOAST,BLUECOAST.NS,NSE
BLUEDART,BLUEDART.NS,NSE
BLUEJET,BLUEJET.NS,NSE
BLUESTARCO,BLUESTARCO.NS,NSE
BLUSPRING,BLUSPRING.NS,NSE
BODALCHEM,BODALCHEM.NS,NSE
BOHRAIND,BOHRAIND.NS,NSE
BOMDYEING,BOMDYEING.NS,NSE
BORANA,BORANA.NS,NSE
BOROLTD,BOROLTD.NS,NSE
BORORENEW,BORORENEW.NS,NSE
BOROSCI,BOROSCI.NS,NSE
BOSCHLTD,BOSCHLTD.NS,NSE
BPCL,BPCL.NS,NSE
BPL,BPL.NS,NSE
BRIGADE,BRIGADE.NS,NSE
BRIGHOTEL,BRIGHOTEL.NS,NSE
BRITANNIA,BRITANNIA.NS,NSE
BRNL,BRNL.NS,NSE
BROOKS,BROOKS.NS,NSE
BSE,BSE.NS,NSE
BSHSL,BSHSL.NS,NSE
BSL,BSL.NS,NSE
BSOFT,BSOFT.NS,NSE
BTML,BTML.NS,NSE
BUTTERFLY,BUTTERFLY.NS,NSE
BVCL,BVCL.NS,NSE
BYKE,BYKE.NS,NSE
CALSOFT,CALSOFT.NS,NSE
CAMLINFINE,CAMLINFINE.NS,NSE
CAMPUS,CAMPUS.NS,NSE
